+------------------+----------+-------+-----+-----------------+-----------+-------------+----------+
|Customer name     |Order date|Segment|Cost |Installation date|City       |Days of delay|Penalty   |
|Kenyon Genette    |2019-07-16|A      |3000 |2019-09-11       |Manchester |568          |85200.00  |
|Alani Nola        |2020-06-04|A      |6000 |2020-07-19       |Los Angeles|256          |76800.00  |
|Cleo Rebeckah     |2019-10-03|A      |3000 |2019-12-05       |Los Angeles|483          |72450.00  |
|Marlena Silvester |2019-01-15|A      |2000 |2019-04-10       |London     |722          |72200.00  |
|Antoni Mose       |2020-08-25|A      |11000|2020-11-23       |New York   |129          |70950.00  |
|William Albert    |2020-07-16|A      |6000 |2020-08-30       |Manchester |214          |64200.00  |
|Julius Edytha     |2019-12-05|A      |3000 |2020-02-18       |London     |408          |61200.00  |
|Audrey Lamprecht  |2020-02-15|A      |3000 |2020-04-29       |New York   |337          |50550.00  |
|Theresa Jordyn    |2020-10-13|A      |5000 |2020-11-07       |New York   |145          |36250.00  |
|Garnet Cher       |2019-08-06|A      |1000 |2019-10-09       |London     |540          |27000.00  |
|Royle Orazio      |2020-06-02|A      |2000 |2020-07-14       |Los Angeles|261          |26100.00  |
|Auguste Kiara     |2019-11-05|A      |1000 |2019-12-01       |London     |487          |24350.00  |
|Ciriaco Jemma     |2020-01-13|A      |1000 |2020-04-17       |Los Angeles|349          |17450.00  |
|Audrey Lamprecht  |2020-09-30|A      |2000 |2020-11-28       |New York   |124          |12400.00  |
+------------------+----------+-------+-----+-----------------+-----------+-------------+----------+
